active,id,cartPlatform,cartSlug,cartName,addToCartType,addToCartUrl,canCollectSalesData,cartCategory,cartColor,cartFontColor,cartLink,cartLogo,redirectOnAddToCart,regional,createdAt
true,005966da-f6a0-2028-142e-0e890d8678dc,jewel-osco,jewel-osco,Jewel-Osco,PDP_REDIRECT,https://www.jewelosco.com,false,Food & Beverage,#e41135,#FFFFFF,https://www.jewelosco.com,,false,true,Mon Jul 06 2020 12:09:07 GMT-0400 (Eastern Daylight Time)
true,00dc9b71-f5bc-4ccc-3a9d-32f08089640d,straight-talk,straight-talk,Straight Talk,PDP_REDIRECT,https://www.straighttalk.com/wps/portal/home/shop,false,Electronics,#000000,#FFFFFF,https://www.straighttalk.com/wps/portal/home/shop,,false,,Tue Jul 21 2020 15:19:20 GMT-0400 (Eastern Daylight Time)
true,0225083c-5b9f-3787-810c-61cf8170afb7,smart-and-final,smart-final,Smart & Final,CUSTOM_REDIRECT_ONLY,https://www.smartandfinal.com/checkout/,false,Food & Beverage,#ca0928,#FFFFFF,https://www.smartandfinal.com/checkout/,,false,,Wed Jul 01 2020 17:43:54 GMT-0400 (Eastern Daylight Time)
true,023d819a-ea98-9325-1288-b3989aedac24,no7-beauty,no7-beauty,No7 Beauty,PDP_REDIRECT,https://us.no7beauty.com/basketinterface.json,false,Beauty & Personal Care,#000000,#FFFFFF,https://us.no7beauty.com/my.basket,,false,,Thu Feb 06 2020 13:14:13 GMT-0500 (Eastern Standard Time)
false,03b747a7-ecbf-9dee-33bb-4645af661020,adidas-uk,adidas-uk,Adidas UK,DIRECT_URL,https://www.adidas.co.uk/cart/restore,,Apparel & Footwear,#000000,,https://www.adidas.co.uk/on/demandware.store/Sites-adidas-GB-Site/en_GB/Cart-Show,,false,,Mon Apr 29 2019 10:34:02 GMT-0400 (Eastern Daylight Time)
true,04c9beae-d55f-0458-c418-577e51acb59e,twin-liquors,twin-liquors,Twin Liquors,PDP_REDIRECT,https://twinliquors.com/cart,false,Food & Beverage,#881f02,#FFFFFF,https://twinliquors.com/cart,,false,true,Wed Jun 17 2020 07:40:04 GMT-0400 (Eastern Daylight Time)
true,0729db51-7715-1dec-7520-655a0d1d093e,rite-aid,rite-aid,Rite Aid,PDP_REDIRECT,https://www.riteaid.com/,false,Big Box,#0d4d91,#FFFFFF,https://www.riteaid.com/,,false,,Wed Sep 30 2020 16:03:05 GMT-0400 (Eastern Daylight Time)
true,0c61cac8-c1f5-ae8e-e86b-a794aaa94efe,carrs,carrs,Carrs,PDP_REDIRECT,https://www.carrsqc.com,false,Food & Beverage,#e51620,#FFFFFF,https://www.carrsqc.com,,false,true,Thu Jul 09 2020 13:52:52 GMT-0400 (Eastern Daylight Time)
false,0c81d068-af69-1424-8a6b-a9f92aa25297,gopuff,gopuff,goPuff,PDP_REDIRECT,https://gopuff.com/mixcart/addProduct,false,Big Box,#88d5f6,#FFFFFF,https://gopuff.com/basket,,false,,Thu Aug 15 2019 13:44:19 GMT-0400 (Eastern Daylight Time)
true,0ca26981-bc15-f622-cdf0-3c6dfca7a185,costco-ca,costco-canada,Costco Canada,CUSTOM_REDIRECT_ONLY,https://www.costco.ca/AjaxManageShoppingCartCmd,false,,#1760AA,#FFFFFF,https://www.costco.ca/CheckoutCartDisplayView,,false,,Thu Mar 05 2020 15:47:29 GMT-0500 (Eastern Standard Time)
false,0da71702-9246-e79c-94fd-8900c2d0e7bd,adidas-de,adidas-germany,Adidas Germany,DIRECT_URL,https://www.adidas.de/cart/restore,,Apparel & Footwear,#000000,,https://www.adidas.de/on/demandware.store/Sites-adidas-DE-Site/de_DE/Cart-Show,,false,,Mon Apr 29 2019 16:25:46 GMT-0400 (Eastern Daylight Time)
true,0ebe40a1-80b8-a9ef-24a2-33a37ee67a76,pavilions,pavilions,Pavilions,PDP_REDIRECT,https://www.pavilions.com,false,Food & Beverage,#000000,#FFFFFF,https://www.pavilions.com,,false,true,Sun Jul 05 2020 13:56:34 GMT-0400 (Eastern Daylight Time)
true,0fa408bd-c08c-eeaa-eaa3-eb9e5cbb96b6,dollarshave,dollar-shave-club,Dollar Shave Club,DIRECT_URL,https://www.dollarshaveclub.com/action/cart-add-or-subscribe-skus/,,Beauty & Personal Care,,,https://www.dollarshaveclub.com/your-box/cart,,true,,Tue Mar 06 2018 17:24:17 GMT-0500 (EST)
true,11cb6d65-9798-8c40-56b7-95c12d621fba,saturn,saturn,Saturn,PDP_REDIRECT,https://www.saturn.de/,false,Electronics,#000000,#FFFFFF,https://www.saturn.de/,,false,,Wed Sep 30 2020 09:20:00 GMT-0400 (Eastern Daylight Time)
true,12ed6790-2ee5-2b30-6b91-8e7c233e4bd4,bodyshop,body-shop,Body Shop,DIRECT_URL,https://www.thebodyshop.com/en-us/cart/bundleUrl?,,Beauty & Personal Care,#004236,,https://www.thebodyshop.com/en-us/cart,,false,,Fri Oct 26 2018 10:21:24 GMT-0400 (Eastern Daylight Time)
true,1531d0bb-a8da-ed13-7ec0-0d57b6c121c3,giant-eagle,giant-eagle,Giant Eagle,PDP_REDIRECT,https://shop.gianteagle.com,false,Food & Beverage,#BA0D0D,#FFFFFF,https://shop.gianteagle.com,,false,,Fri Sep 18 2020 17:38:40 GMT-0400 (Eastern Daylight Time)
true,17490618-a44a-f301-798d-0ca239ba6686,urban-decay,urban-decay,Urban Decay,PDP_REDIRECT,https://www.urbandecay.com/on/demandware.store/Sites-urbandecay-us-Site/default/Cart-AddProduct,false,Beauty & Personal Care,#522d6d,#FFFFFF,https://www.urbandecay.com/on/demandware.store/Sites-urbandecay-us-Site/default/Cart-Show,,false,,Tue Aug 14 2018 15:39:10 GMT-0400 (Eastern Daylight Time)
true,1b130269-296c-771a-b685-27c774a3088d,viktor-and-rolf,viktor-rolf,Viktor & Rolf,DIRECT_URL,https://us.viktor-rolf.com/on/demandware.store/Sites-viktorrolf-us-Site/default/Cart-AddProduct,false,Beauty & Personal Care,#000000,#FFFFFF,https://us.viktor-rolf.com/cart,,false,,Thu Oct 31 2019 16:39:41 GMT-0400 (Eastern Daylight Time)
true,1d422feb-01bf-a258-61c4-e72c175f690e,shores-liquors,shores-liquors,Shores Liquors,PDP_REDIRECT,https://shoresliquor.com/,false,Food & Beverage,#000000,#FFFFFF,https://shoresliquor.com/,,false,,Fri Sep 18 2020 12:55:43 GMT-0400 (Eastern Daylight Time)
true,1d641dca-4008-3478-8c0b-20e62418da35,rxbar,rxbar,RXBAR,DIRECT_URL,https://www.rxbar.com/rxbarcheckout/webhook/add/product,,Food & Beverage,#000000,,https://www.rxbar.com/checkout/cart/,,false,,Mon Dec 16 2019 15:23:34 GMT-0500 (Eastern Standard Time)
true,1e2aa349-4ce6-455c-81be-9fdf954a9a7a,living-proof,living-proof,Living Proof,PDP_REDIRECT,https://www.livingproof.com/buy/checkout/cart/add,,Beauty & Personal Care,,,https://www.livingproof.com/buy/checkout/cart/,,false,,Wed Feb 21 2018 16:58:29 GMT-0500 (EST)
true,1e79c073-70d7-47ad-b2bd-b2a659618eb0,banana-republic,banana-republic,Banana Republic,FORM_SUBMISSION,http://bananarepublic.gap.com/buy/inlineShoppingBagAddJson.do,,Apparel & Footwear,,,https://secure-bananarepublic.gap.com/buy/shopping_bag.do,,false,,Thu Feb 22 2018 13:49:47 GMT-0500 (EST)
true,1ea81eff-2b0d-7586-3760-bf5637d02f38,pampers-pure,pampers-pure,Pampers Pure,FORM_SUBMISSION,https://pamperspure.com/remote/v1/cart/add,,Beauty & Personal Care,#34657f,,https://pamperspure.com/cart.php,,false,,Tue Aug 20 2019 17:19:12 GMT-0400 (Eastern Daylight Time)
true,1f273181-ef3f-c0f9-858f-5c26f0ff09e2,amazon-attribution,amazon-attribution,Amazon Attribution,PDP_REDIRECT,s.amazon-adsystem.com,false,,#f09b3a,#FFFFFF,s.amazon-adsystem.com,,false,,Thu Aug 13 2020 12:29:01 GMT-0400 (Eastern Daylight Time)
true,23da7738-f71b-c315-ef24-82c9795bfbf2,petsmart,petsmart,Petsmart,DIRECT_URL,https://www.petsmart.com/on/demandware.store/Sites-PetSmart-Site/default/Cart-AddProduct,false,,#e5163f,#FFFFFF,https://www.petsmart.com/cart/,,false,,Fri Jun 19 2020 15:57:47 GMT-0400 (Eastern Daylight Time)
